LocationID,COUNTY,ROUTE,LOCATION,AADT_2002,AADT_2003,AADT_2004,AADT_2005,AADT_2006,AADT_2007,AADT_2008,AADT_2009,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT_2019,AADT_2020,AADT_2021,AADT_2022,AADT_2023
600000766,MECKLENBURG,I-485,BETWEEN EXIT 30 (I-85) AND EXIT 32,12000,17000,33000,42000,52000,60000,50000,53000,53000,51000,45000,52000,53000,89000,108000,115000,122000,113000,96500, , ,117000
600000845,MECKLENBURG,I-485,BETWEEN EXIT 51 AND EXIT 52,39000,45000,63000,68000,68000,68000,65000,67000,64000,64000,65000,66000,70000,76000,82000,84000,86500,84000,68000, , ,82000
600000846,MECKLENBURG,I-485,BETWEEN EXIT 52 AND EXIT 57,45000,53000,69000,72000,70000,70000,68000,70000,66000,65000,67000,67000,70000,77000,80000,81000,82500,81000,65500, , ,79500
600000847,MECKLENBURG,I-485,BETWEEN EXIT 57 AND EXIT 59,58000,62000,78000,78000,74000,73000,73000,75000,71000,72000,69000,72000,72000,80000,84000,85000,87500,85500,70000, , ,84500
600000848,MECKLENBURG,I-485,BETWEEN EXIT 59 AND EXIT 61,65000,72000,90000,89000,84000,82000,82000,83000,79000,81000,78000,81000,78000,89000,97000,98000,101000,96000,78500, , ,95000
600000849,MECKLENBURG,I-485,BETWEEN EXIT 61 AND EXIT 64,83000,86000,95000,100000,96000,93000,96000,96000,92000,94000,89000,92000,90000,110000,121000,124000,128000,122000,100000, , ,121000
600000850,MECKLENBURG,I-485,BETWEEN EXIT 64 AND EXIT 65,107000,107000,109000,124000,121000,117000,119000,120000,115000,118000,112000,116000,111000,135000,146000,149000,154000,148000,122000, , ,148000
600000851,MECKLENBURG,I-485,BETWEEN EXIT 65 AND EXIT 67 (I-77),102000,101000,104000,121000,119000,116000,118000,116000,111000,116000,108000,113000,108000,133000,143000,147000,153000,147000,122000, , ,147000
600000852,MECKLENBURG,I-485,BETWEEN EXIT 67 (I-77) AND EXIT 1,31000,29000,38000,70000,82000,88000,87000,86000,86000,90000,88000,93000,96000,108000,112000,121000,126000,124000,104000, , ,125000
600001297,MECKLENBURG,I-485,BETWEEN EXIT 33 AND EXIT 36, , ,38000,46000,56000,57000,50000,52000,52000,51000,47000,52000,55000,72000,81000,84000,88500,82000,68000,87000, ,94500
600001298,MECKLENBURG,I-485,BETWEEN EXIT 36 AND EXIT 39, , ,39000,47000,55000,55000,49000,50000,51000,50000,47000,51000,52000,67000,76000,79000,82500,76000,62000, , ,74500
600001299,MECKLENBURG,I-485,BETWEEN EXIT 39 AND EXIT 41, , ,38000,45000,53000,51000,47000,47000,47000,47000,45000,48000,51000,64000,73000,75000,78500,74000,59000, , ,71500
600001300,MECKLENBURG,I-485,BETWEEN EXIT 49 AND EXIT 51,20000,23000,49000,54000,56000,54000,52000,53000,51000,51000,51000,50000,55000,63000,69000,70000,72000,70500,56500, , ,68000
600001301,MECKLENBURG,I-485,BETWEEN EXIT 47 AND EXIT 49,14000,15000,45000,51000,53000,50000,49000,49000,47000,48000,46000,47000,51000,61000,66000,67000,69000,69000,55000, , ,66500
600001302,MECKLENBURG,I-485,BETWEEN EXIT 1 AND EXIT 3,11000,12000,14000,48000,62000,66000,65000,67000,67000,70000,68000,76000,77000,90000,96000,106000,110000,112000,94000, , ,113000
600001303,MECKLENBURG,I-485,BETWEEN EXIT 32 AND EXIT 33,15000,14000,39000,49000,56000,63000,55000,56000,57000,56000,51000,56000,60000,85000,101000,107000,113000,101000,85500, , ,103000
600001306,MECKLENBURG,I-485,BETWEEN EXIT 41 AND EXIT 43, , ,36000,40000,47000,43000,40000,40000,39000,40000,38000,40000,43000,55000,61000,63000,65000,61500,48500, , ,58500
600001307,MECKLENBURG,I-485,BETWEEN EXIT 43 AND EXIT 44, , ,36000,42000,49000,44000,42000,43000,42000,43000,41000,42000,46000,57000,63000,66000,68000,64500,51000, , ,61500
600001308,MECKLENBURG,I-485,BETWEEN EXIT 44 AND EXIT 47, , ,39000,45000,50000,45000,44000,45000,43000,44000,42000,43000,48000,57000,62000,63000,65500,66500,52500, , ,63500
600001309,MECKLENBURG,I-485,BETWEEN EXIT 3 AND EXIT 4, , , ,47000,61000,65000,64000,65000,67000,70000,69000,76000,79000,93000,100000,110000,115000,116000,97000, , ,117000
600001310,MECKLENBURG,I-485,BETWEEN EXIT 6 AND EXIT 9, , , ,48000,62000,69000,68000,69000,72000,78000,78000,84000,88000,105000,110000,124000,130000,129000,108000, , ,130000
600001311,MECKLENBURG,I-485,BETWEEN EXIT 9 AND EXIT 10, , , ,40000,49000,59000,60000,62000,66000,71000,70000,77000,79000,93000,96000,111000,116000,115000,96500, , ,116000
600001313,MECKLENBURG,I-485,BETWEEN EXIT 10 AND EXIT 12, , , , , ,25000,39000,44000,50000,54000,55000,57000,59000,75000,81000,90000,94000,91000,76000, , ,92000
600001314,MECKLENBURG,I-485,BETWEEN EXIT 12 AND EXIT 14, , , , , ,22000,35000,40000,46000,51000,51000,52000,54000,68000,74000,82000,85500,85500,72000,84000, ,91500
600001315,MECKLENBURG,I-485,BETWEEN EXIT 14 AND EXIT 16, , , , , ,15000,29000,34000,41000,46000,45000,47000,48000,66000,73000,82000,84000,83000,70000, , ,84500
600001321,MECKLENBURG,I-485,BETWEEN EXIT 21 AND EXIT 23C, , , , , , ,19000,24000,27000,31000,27000,34000,37000,56000,65000,83000,84500,75000,64000, , ,77500
600001322,MECKLENBURG,I-485,BETWEEN EXIT 16 AND EXIT 21, , , , , , ,24000,31000,36000,41000,39000,41000,42000,65000,73000,83000,83000,81500,69000,84500, ,91500
600001323,MECKLENBURG,I-485,BETWEEN EXIT 4 AND EXIT 6, , , , , , , , , ,77000,77000,83000,86000,104000,109000,122000,128000,129000,107000, , ,130000
600001575,MECKLENBURG,I-485,BETWEEN EXIT 23C AND EXIT 26, , , , , , , , , , , , , ,64000,85000,85000,88500,100000,85500, , ,103000
600001576,MECKLENBURG,I-485,BETWEEN EXIT 26 AND EXIT 28, , , , , , , , , , , , , ,56000,77000,86000,92000,93000,79500,100000, ,109000
600001577,MECKLENBURG,I-485,BETWEEN EXIT 28 AND EXIT 30, , , , , , , , , , , , , ,56000,81000,90000,96000,98500,84500, , ,102000
600001649,MECKLENBURG,I-485,BETWEEN WESTINGHOUSE BLVD EB AND I-485, , , , , , , ,4400,3100,3000,3100,3000,3200,3400,3800,3900,3900,4100, ,4100,4300,4200
600001650,MECKLENBURG,I-485,BETWEEN WESTINGHOUSE BLVD WB AND I-485, , , , , , , ,2600,2500,2600,2700,2300,3200,2800,3400,3800,4000,3600, ,3700,4100,4200
600001652,MECKLENBURG,I-485,BETWEEN I-485 AND WESTINGHOUSE BLVD, , , , , , , ,15000,15000,15000,15000,16000,17000,15000,16000,14000,16500,17000, ,18000,17500,18500
600001662,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND I-77 SB, , , , , , , ,14000,14000,15000,16000,17000,18000,17000,21000,21000,22500,23000, ,22500,23000,24000
600001663,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND I-77 NB, , , , , , , ,9100,8800,9100,8700,9900,10000,9000,9700,10000, ,9300, ,9800,9300,8800
600001664,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND I-77, , , , , , , ,23000,22000, ,24000,27000,29000,27000,29000,30000, ,32000, ,31500, ,31500
600001665,MECKLENBURG,I-485,BETWEEN I-77 SB AND I-485 OUTER, , , , , , , ,21000,19000,20000,18000,21000,20000,22000,24000,24000, ,23000, ,21500,22500,23000
600001666,MECKLENBURG,I-485,BETWEEN I-77 NB AND I-485 INNER, , , , , , , ,13000,13000,14000,15000,16000,18000,18000,12000,20000, ,22500, ,20500,22500,22500
600001667,MECKLENBURG,I-485,BETWEEN I-77 NB AND I-485 OUTER, , , , , , , ,13000,11000,14000,12000,12000,12000,14000,16000,17000, ,17000, ,17000,17500,17000
600001668,MECKLENBURG,I-485,BETWEEN I-485 INNER AND I-77, , , , , , , ,37000,34000,36000,35000,36000,36000,38000,41000,44000, ,45000, ,39000,39000,40000
